,text,label
0,Need Help Urgently,bearish
1,Increase of Flexible CAKE APY,neutral
2,你是否将你的CRV锁定4年,bearish
3,Help me I got a lot of problems but you can solve it,bullish
4,Proposal to reduce Farm Emissions for BNB Chain PancakeSwap v3,neutral
5,Curve Finance 上的部分池子是否应该提高以代币形式的奖励数量,bullish
6,Activate Sourcecred Program,bearish
7,Cross chain Cake,bullish
8,2024 CRV Price Prediction 2024 CRV价格预测,neutral
9,Stake cake to earn My DeFi Pet Dpet dpetbnb to earn cake,neutral
10,考虑到defi的巨大发展你是否支持curve空投,bullish
11,BIP264 Proposal to engage Smart Contract audit through Balancer OpCo Limited,neutral
12,Do we need new proposals,bullish
13,Do you want curve add POAPs for snapshot voting,bullish
14,AIP408 Q2Q3 2024 Governance Working Group Budget,neutral
15,ARFC Add gmBTC on Arbitrum V3,bullish
16,Add a multilevel referral system,bullish
17,AIP119 Commercialize your NFTs on IRL Wine WINE3 X BAYC LimitedEdition Wine Drop  Ecosystem Fund Allocation,neutral
18,BIP 69 c Emissions Q4 mStable,bullish
19,Increase AUTOCAKE staking APY rewards,bearish
20,AIP308 Establish an Ombud for the DAO,neutral
21,Proposal to Boost the SFUNDBNB farm and a New Syrup Pool,neutral
22,Set up Balancer Smart Pool as DAO Treasury,bearish
23,Help me,bearish
24,ARC Enable sUSD as Collateral on AAVE V3 on Optimism with a 10 million sUSD Supply cap,bearish
25,Need help,bearish
26,BIP 70  CVX pt II Locking  Delegation Incentives,neutral
27,Burn Cake to Create a Proposal,bearish
28,how much is it a cake should be,bearish
29,Proposal BAL for Gas  Replenish Budget w 50000 BAL,bullish
30,ARC  Add DPI as Collateral on the AAVE ARC market,bullish
31,AIP280 Exploring New Frontiers Bring ApeCoin Ape into the Mobile Gaming World,bullish
32,AIP246 Working Group Charter  Marketing  Communications,bullish
33,Initiate Supply feature of projects,neutral
34,Temperature Check  GRANT REQUEST pZEIP1_M2 BundleSwapFeature 31Third,bullish
35,Pancakeswap增加链上代币授权查询解除授权功能,neutral
36,Shidcon Of The Year,neutral
37,Deploy Aave on Cronos chain,bearish
38,Is the economic model of the cake still sustainable and empowering,bullish
39,how about swap token without gas,bearish
40,Save CAKE ,bearish
41,BIP408 Change Passive Fee Distribution,neutral
42,AIP288 Adopt Shielded Snapshot Voting for Elections and AIPs,bullish
43,Proposal for a Splinterlands Syrup Pool and Farm,neutral
44,Sell ad space on pcs,bullish
45,ARFC Addendum Update Asset Onboarding Framework,neutral
46,Squad staking,bullish
47,Increase cake burn capacity to atleast 50 injections,neutral
48,Cut inflation and rewards in half NOW,neutral
49,Speed up page loading,bearish
50,Proposal for Adjusting Outer Ring MMOs GQ Liquidity Pair for Farm Rewards,neutral
51,ARC Add support for BTCb Native Bitcoin bridged to Avalanche,bullish
52,Add MAI to Aave V3 on Polygon Fantom and Avalanche,bullish
53,Syrup Pools for BTT and WIN  farming,neutral
54,BIP609 Enable Gauge for wrsETHWETH Optimism,neutral
55,Блинная масленица в России,neutral
56,Question,bearish
57,Raising money for mom,neutral
58,PancakeSwap Casino,bullish
59,More Passive Income from Pool with balanced stable Supply,bullish
60,ARFC Orbit Program Renewal May 2024,bullish
61,CIP20  Add a Performance Weighted Gauge,bearish
62,LayerZero Aridrop  win 50 cake,neutral
63,BIP2 Allowlist GnosisDAOs treasury in VotingEscrow,bearish
64,Add stMATIC to Aave V3 Polygon Market,bearish
65,sCIP36 Add CRVsCRV Pool,bearish
66,Need some CAKE,bearish
67,To have an Make Offer Button in the PancakeSwap NFT Marketplace,bullish
68,Proposal for a Project Galaxy GAL Syrup Pool and Farm,neutral
69,AIP325 ApecoinDAO  Mocaverse CrossCommunity Spaces  Reward Vault,neutral
70,should cake be airdropped to dao voters,neutral
71,Cake or Uni,bullish
72,Should Aave V3 be released,neutral
73,Deploy the VAI PEG Stability module and Supply Liquidity to PancakeSwap for the VAIUSDT Pair,bullish
74,BIP3 Allocate BAL towards EthereumOptimism Bridge Liquidity,bearish
75,NEW CHEF PROPOSAL,bearish
76,I lost my money in crypto,neutral
77,Proposal for APX Finance ALP Syrup Pool on opBNB,bullish
78,Enable COWWETH 5050 veBAL Gauge,bearish
79,Will you buy more CAKE in 2023,neutral
80,Proposal to Boost the THGBNB farm and a New Syrup Pool,neutral
81,BIP505 Enable 40DFX20USDC40TEL Gauge with 2 emissions cap,neutral
82,BIP 86 Change and ratify Badger Council Membership,bearish
83,Super monthly Lottery,bullish
84,약세장이 오면 CRV를 계속 보유할 것입니까,bullish
85,Allow users to unlock their CAKE at 20 penalty,bullish
86,sCIP2  Utilizing the Community Fund,bearish
87,CIP21  Add mUSD Metapool,bearish
88,sCIP16  Adding a aDai aSUSD Pool,bullish
89,BIP126 Whitelist Fjords Gnosis Safe for Balancers VotingEscrow,bullish
90,cake to 20 lesgo,bullish
91,ARFC Reset Aave v3 Deployment Pipeline,neutral
92,BIP374 Enable DUSDBoosted Aave v3 USD Gauge Ethereum,neutral
93,Add a mBTC WBTC Metapool,bearish
94,syrup pools  cake locked  52weeks  when extending  or adding cake,bearish
95,Will CAKE ever return to 10,bullish
96,Proposal Increase AAVE capTier from cap4 to cap5 30M  100M,bearish
97,Cake Holders Reward,bearish
98,I want to live in a workd of magic,neutral
99,new proposal,bullish
100,Btc 39800 ,neutral
101,urgent help,neutral
102,ARFC Onboard weETH to Aave v3 on Ethereum,bullish
103,Raise minimum AAVE holding to create a snapshot proposal to 50 AAVE,neutral
104,zksync big airdrop,neutral
105,Proposal Allocate BAL to AAVEWETH Stakers,bearish
106,Help me I got a lot of problems but you can solve it I HAVE LOCKED 76000 IM NOT BEGGAR,bullish
107,ARFC Onboard artMETIS to Aave V3 on Metis Market,bearish
108,AIP36 Guy Oseary as ApeCoin Representative  Ecosystem Fund Allocation,bullish
109,Launch Curve on Harmony,bearish
110,Proposal for an ApolloX APX Syrup Pool and Farm,neutral
111,BIP5 Tribe DAO Unclaimed BAL Rewards,bearish
112,BIP 80 b Yearly Reassessment,bearish
113,CAKE BACK TO 05,bullish
114,crv准备拿到下个牛市吗,bullish
115,Making a Pancakeswap commercial to attract more userd,neutral
116,BIP 66 a Revise DIGG Emissions fund KPI Options Establish Treasury Controlled Liquidity for DIGG,neutral
117,Withdraw Locked CAKE early,neutral
118,Proposal to Upgrade Meta Apess PEEL Liquidity Pair for Farm Rewards from v2 to v3,bearish
119,ARFC  Remove ARB from Isolation mode on Arbitrum Market,bearish
120,CROXBNB Farm  Syrup pool,neutral
121,Which chain do you like,bullish
122,Medical help,bearish
123,BIP 82 a Emissions Q1 2022,bearish
124,Make Prediction MORE Fun,bullish
125,Play card games with cake like poker,bearish
126,DFDBUSD,bearish
127,100 Trading Fees Should Be Used To Burn CAKE ,bullish
128,burn more cake  pump the price,bullish
129,UADP Team Election,neutral
130,Pensezvous que Curve devrait ajuster son offre totale de jetons ,bearish
131,TEXT COUNT TEST  Lorem ipsum dolor sit amet consectetur adipiscing elit sed do eiusmamet,bullish
132,Syrian refugees help,bearish
133,Syrop pool only for burn or donate ,neutral
134,穿越回2008年你会买BTC,neutral
135,Is cake going to be CUSDCake Usd,bearish
136,Where is the rise in the price of the token Prohibit unlocking coins in 2023,bearish
137,BIP348 Ecosystem ONsite Proposal Q4 2023,neutral
138,Add Empty Set Dollar ESD3pool Metapool,bullish
139,Setup free NFT Profile,neutral
140,Suspend Q2 XVS Burn,bullish
141,Proposal Removal of established cranial follicles fund,neutral
142,Eth or Other,neutral
143,AIP103 Ape Worlds Shooter Edition  Ecosystem Fund Allocation,bullish
144,Is cake a value investment,neutral
145,CAKE now a stakeable asset on the best noncustodial zero risk staking platform with 16 APY,neutral
146,Artillery bombardment victim,neutral
147,cake up,bearish
148,Do you think the price of CAKE will exceed 10 by the end of the year,bullish
149,Proposal for a Fuse Network FUSE Syrup Pool and Farm,bearish
150,Allocate BAL to a Ribbon Finance Vault,neutral
151,Proposal to Cap CAKE Token Supply at a Maximum of 750000000 CAKE,bearish
152,Proposal for DexCheck DCK Syrup Pool and Farms,neutral
153,BIP443 Restore Brand Trust in Balancer by Assisting DNS Hack Users,neutral
154,提议对AAVE持有人进行追溯空投,bullish
155,Proposal for Era7 Game of Truth ERA IFO to be Hosted on PancakeSwap,neutral
156,What about CAKE swap fees,neutral
157,Proposal To Improve Governance Discussion and voting processes with Commonwealth,neutral
158,BIP 68 ibBTC Yield Retention Model,bullish
159,cake keeps falling why,bearish
160,CRV vatil atteindre ATL en 2022 ,bullish
161,AIP7 Restructuring the Forum Categories  Informational,bullish
162,BIP186 Enable TUSDbbeUSD Gauge Ethereum,neutral
163,AIP429 Apechain for Good Happy Ape Phygital Childrens BookPlush,bearish
164,AIP346 Monthly Laughing Ape StandUp Comedy Show Utility for all APE Holders,neutral
165,Add Login With spaceid as an option to the wallet connect dialog of the cake app,neutral
166,BIP411 Enable GHOUSDTUSDC Gauge Ethereum,neutral
167,AIP13 APE FOUNDATION Merch  Top Drawer  Ecosystem Fund Allocation,bearish
168,Do not click on the Arbitrum links,bearish
169,Sport prediction game,bearish
170,CAKE BARROW FUND,neutral
171,Le prix du crv franchiratil 23 avant 2022 ,bearish
172,Donate 1 cake,bearish
173,Drop Some NFTs,bullish
174,Shall we raise the threshold to raise new protocal,neutral
175,ARFC Onboard wbETH to Aave v3 BNB Chain,bearish
176,Make Syrup Pools Twice as long with Half the APR,bearish
177,Do you expect the pancake exchange to offer trading to mainland users after the end of the year,bearish
178,Add a new base pool implementation as an alternative to 3Pool DAIUSDCUSDT,neutral
179,Should Uniswap governance contribute funding to the Nomic Foundation,bearish
180,ARC Whitelist Connext for V3 Portals,bearish
181,Proposal to Boost the HIGHBUSD farm and a New Syrup Pool,bullish
182,Do you like CAKE,bullish
183,AIP173 Add new Discourse Category for Administrative Review,bullish
184,Proposal Extend the Exchange Gas Reimbursement Program 4 Weeks,bearish
185,持有crv是否应该加大空投福利,bullish
186,Enable MaticMaticX Gauge Polygon,bearish
187,Delete all Proposals that wiuth referal codes,bearish
188,CAKE Tokenomics v25 Totally ok but in 1 year,bearish
189,quality improvement proposal,bullish
190,Governance Process Revamp 20,bullish
191,BIP122 Retire OHMDAIWETH Gauge  Add OHMETH  OHMDAI Gauges Ethereum,bullish
192,If a new issue of IFO starts will you still participate,bearish
193,Can the coin price reach 50U before the end of the year,bearish
194,Create a mobile app to connect new users more,neutral
195,BIP345 Enable wstETHWETH Gauge Optimism,neutral
196,STAKE CAKE EARN EGLD,bullish
197,Proposal SourceCred Engagement Incentives,neutral
198,Curve Finance好用吗,bullish
199,Increase unstaking fee time in the syrup pools,bullish
200,Proposal to migrate Snapshot voting space to cakevoteeth,bullish
201,cake to 100 in next bull run,bullish
202,Allowlist Aura Finance in Balancer VotingEscrow,bearish
203,pour ce prix maintenant achèteriezvous la trempette,bullish
204,Proposal to Upgrade Magpies MGP Liquidity Pair for Farm Rewards from v2 to v3,bearish
205,NFT for quality proposal,neutral
206,ARC Extend the Safety Module Protection to Aave V2 Avalanche,bullish
207,I love cake Do you love cake,neutral
208,AIP454 The BANANA Bill Apes Gotta Eat,neutral
209,ARC Add alUSD as a Borrowable Asset to Aave V2,bearish
210,AIP339 ApeCoin AI Remix Contest,neutral
211,ARFC Chaos Labs  Aave Risk Management  Renewal,neutral
212,BIP16 Update DAO Multisig Replacement List,bullish
213,Proposal for a PearDAO PEX Syrup Pool and Farm,bullish
214,PancakeSwap Freelance,neutral
215,Pancake use is multiple for ZRO airdrop,neutral
216,BIP17 Request BAL from treasury for June 2022 Balaries,bullish
217,Temperature Check  GRANT REQUEST 0x Community Subgraph,bullish
218,Add BTC Syrup pool,bearish
219,Events and parties in our community for bunnies only active profile,neutral
220,AIP394 Bored Brewing Beer Co Resubmission,bearish
221,TİTANO,bullish
222,AIP413 Hire a Head of Network Development at the APE Foundation,bearish
223,Request for Approval Bounty on fallback oracle misconfiguration,bearish
224,Fund BalancerDAO for Q2 2022,neutral
225,BIP659 Enable Gauge for rsETHWETH on Ethereum Mainnet,neutral
226,Are you pinka,bullish
227,Vote giúp mình nha,neutral
228,BTC 50K 01012024,bullish
229,BIP616 Enable gauge for sDAIaUSDC Rehype pool Gnosis,neutral
230,PancakeSwap Game,bearish
231,AMPL interest rate curve adjustment,bearish
232,Increase Burn of cake,neutral
233,AIP230 I dont hate apes I just want them to fund public goods,neutral
234,ARC Aave Ethereum V3 market initial onboarded assets,bullish
235,AIP66 ApeCoin Newsletter  Ecosystem Fund Allocation,bullish
236,BIP15 Enable FIATUSDCDAI Stableswap Gauge Ethereum,bullish
237,Onboard Fire Eyes DAO as Strategic Partner,neutral
238,Should nine 9 total risk parameters across seven 7 Aave V2 assets be updated,bullish
239,Desperately need help,neutral
240,Proposal to Upgrade UniWhales UNW Liquidity Pair for Farm Rewards from v2 to v3,bearish
241,BIP400 Enable WMATICMaticX Gauge w 10 cap Polygon,bearish
242,AIP87 NFT  IP Marketplace  Yuga Labs  Otherside Partner NFT Collections  Ecosystem Fund Allocation,bullish
243,Metacake map and land selling,bearish
244,Proposal for Adding CAKE Allocation to Bootstrap opBNB Liquidity,bullish
245,If community autonomy can be achieved,neutral
246,ARFC Ethereum v2 Reserve Factor Adjustment,bullish
247,Curve是否应该增加流动资金池除了已经增加的CompoundUSDTYPaxRenBUSDsUSDhbrcsbtc和3pool,bullish
248,AIP275 Understanding and Improving the Governance Participation in ApeCoin DAO,bullish
249,I take donations,bullish
250,Price nfts in cake,bearish
251,Aave  BGD Labs Request for Approval,bearish
252,Request The transparent and clear for all faming token,bullish
253,Proposal Extend govFactor in Balancer V1,bearish
254,BIP 77 Reactivate Contracts and Recover Funds,bullish
255,ARFC Deploy whitelabel Aave V3 Market  Reental,bearish
256,Make more Airdrops Available for Cake Holders,neutral
257,BIP135 Grant BLabs authorization to set arbitrum bridging fees,neutral
258,BIP488 Authorize Mimic Smart Vaults on Mainnet Avalanche and Base,neutral
259,U hold cake on web3 wallet or CEX,neutral
260,ARFC Recommendation to freeze and set LTV to 0 for BAL on Aave v3 Polygon,neutral
261,Airdrop season,bullish
262,Should we publish senseless proposals here,neutral
263,AIP426 Special Council Future election requirement and role clarification,neutral
264,BIP 82 b Emissions Q1 2022 mStable,bearish
265,可以给持有VCRV锁仓4年的用户制作并发放POAP吗,bullish
266,sCIP29  Add a TUSD TriPool Metapool,bullish
267,VIP52 VRT Swap  XVS Vesting,bullish
268,ARFC Onboard sUSDe to Aave V3 on Ethereum,bearish
269,Update Uni v3v2 Deployment Process March 2024,bearish
270,AIP279 Bored Apes Storm Hollywood BASHAIP Expanding the Ecosystem with Battletested IP Veteran and the Batman Producers,bullish
271,Become a tenant in the Bloktopia VR metaverse,bearish
272,ARFC Chaos Labs Risk Parameter Updates  OP on V3 Optimism,neutral
273,Proposal to decrease RPL from Cap3 to Cap2 10M  3M,bullish
274,cake automatic pool,bearish
275,BIP 106  2024Q3 Council Elections,bearish
276,sCIP8  USDN Interests Distribution,bullish
277,Make bmonbnb a core farm,bullish
278,ApeCoin DAO  Marketing and Communications Working Group Steward Elections  Term Beginning July 2024,neutral
279,Eid Mubarak,bearish
280,More Pottery winners,neutral
281,Has Cake foundation been doing good with their incentivizing campagins recently,bullish
282,sCIP22  Add a UST TriPool Metapool,bearish
283,BIP 72 Sett Vaults and ibBTC Fee Restructuring,bullish
284,cake反黑洞计划,bullish
285,Create no loss lottery pool,neutral
286,Help our shelter animal EVERYBODY WE NEED YOUR HELP,neutral
287,Allow NFT from NFT drops to be traded among users,neutral
288,Allinone Flexible Staking Pool,neutral
289,Help for the psychiatric care of the sweetest and kindest girl in the world,neutral
290,sCIP31  Add a MBTC sBTC Metapool,bullish
291,Start an world war III,bearish
292,Are you holding Meme,neutral
293,Enable Clout as collateral on Aave and eventually Creator Coins,bearish
294,如果熊市来了你还会持有crv吗,bullish
295,BIP 88 Emissions Q2 2022,bearish
296,crv持有应该追溯空投吗,bullish
297,I hope to get a few more issues of quality IFO recent issues are increasingly not,bearish
298,BURN MORE CAKE,bearish
299,Proposal Authorize Gauntlet for Oracle Pools,bearish
300,XVS Ethereum Mainnet Development Program with Lido Frax Curve and Gitcoin,bearish
301,BIP28 Kill CREAMWETH Gauge,bullish
302,CAKE  Bridge,bearish
303,Temperature Check Deploy Uniswap V3 on Scroll,bearish
304,Proposal for a Mask Network Farm  Syrup Pool,neutral
305,BIP 80 a BADGER Allocation to Restitution Program,bearish
306,ARFC BGD  Aave Phase 3 2 scopes,neutral
307,Mission Back to Venus Campaign 5  Chinese YouTube Video Winner Selection,neutral
308,ARBITRUM ARB claim,neutral
309,BIP587 Update Snapshot Parameters with Core Contributor Author Set,neutral
310,sCIP13  Adding QUSD QUSD3pool Metapool,bullish
311,Prime Adjustment Proposal  Q2 2024,bullish
312,TEMP CHECK Safety Module  Create GHOUSDC ECLP Category,bullish
313,will you come,neutral
314,ARFC TokenLogic  karpatkey Service Provider Partnership,bullish
315,AIP291 Approve and Publish ApeCoin DAO Brand Guidelines v11 on ApeCoincom,neutral
316,UIUX upgrade governance framework,bullish
317,Is the CRV dip Christmas Frenzy or something else,bullish
318,Cake,neutral
319,ARFC  Chaos Labs Scope and Compensation Amendment,bearish
320,BIP 75 Emissions migration to ibBTCsBTC Convex Sett,bearish
321,BIP 58 Emissions ibBTCWBTC SLP Sett incentives,bearish
322,Do you want HAL integration,bullish
323,Murat,bearish
324,Curve Finance投票权应包含主链以外的其它链,bullish
325,Will there be new IDO on Cake,neutral
326,ApeCoin DAO  Special Council Elections  Term Beginning January 2023,neutral
327,Proposal to Boost the KALMBNB Farm,neutral
328,Will Cake become a best dex token ,neutral
329,How smart are you,bearish
330,List pancakeswap on cryptocom,neutral
331,Isnt CZ is using 4 too much are we concern with all these FUDs ,neutral
332,Proposal for a Ultimate Champions CHAMP Syrup Pool and Farm,neutral
333,AIP12  Foundation and DAO Governance  Airdrop,neutral
334,Cake gamefi  mining world,bearish
335,Do you think CAKE can make a new alltime high,neutral
336,November CAKE Emission Reduction,neutral
337,test 2,bearish
338,Utilize CRV from the community fund to stake in Bancor v21,bearish
339,If PANCAKE exchange brings a new wave of funding will it bring users a more hiode experience,bearish
340,BIP517 Fund Balancer Grants for Q1 2024,neutral
341,Cake to 20 again,bullish
342,BIP4 Implement New Gauge Requirements,bearish
343,Future of world wide oil transactions,bullish
344,AIP93 A Marketplace for Apes by Apes built by Magic Eden  Brand Decision,bullish
345,Proposal to Boost the BELBNB Farm Plus a New Syrup Pool,bullish
346,ARFC wGHO Aave V3 Onboarding,bearish
347,prediction burn,bearish
348,BIP 102  Discontinue DIGG TCLLP,bullish
349,when IDO,neutral
350,GNT  BUSD Farm,bearish
351,aaaa,bullish
352,New cake burn mechanism,bullish
353,ARFC Avalanche v2 Reserve Factor Adjustment,neutral
354,Increase in the number of burnt cakes,bearish
355,BIP 53 DIGG for Rebase Options Redemption Pool,bullish
356,cake 100,bearish
357,Proposal to Introduce Liquidity Staking,bullish
358,AIP105 ApeCoin Drops in the Real World,bullish
359,Reduce CAKE mint rate Reduce CAKE emissions,bearish
360,Stake CAKE earn RAMP,neutral
361,Can crv up to 30 dollar,bullish
362,Chaos Labs  Aave v2 Coverage,neutral
363,sCIP29 Add LinksLink pool,bullish
364,sCIP23  Add a oBTC sBTC Metapool,bearish
365,Consensus Check Deploy Uniswap V3 to zkSync,neutral
366,Dice game,bullish
367,cake in dark,neutral
368,ARC Risk Parameter Updates for Aave V3 Optimism 20221229,neutral
369,2,neutral
370,Proposal for an ITAMCUBE Farm,bearish
371,Donate 50M worth of UNI to Chris Blec to leave DeFi for good,bullish
372,Staking of BPT for Economic and Governance Benefits,bearish
373,AIP417 IP Ecosystem with CLIP Powered by ApeCoin,neutral
374,Changing the interest rate parameters for VAI,bullish
375,CIP8  Propose to add dToken pool with liquidity gauge,bullish
376,Join Cakepie as a bribery market participant,neutral
377,More proposal,bullish
